"id","name","homepage_url","download_url","url_name","user_count","average_rating","rating_count","updated_at","logged_at","min_month","max_month","twelve_month_contributor_count","total_code_lines","main_language_id","main_language_name","code_added_12months","code_removed_12months","comments_added_12months","comments_removed_12months","blanks_added_12months","blanks_removed_12months","commits_12months","code_added_lastmonth","code_removed_lastmonth","comments_added_lastmonth","comments_removed_lastmonth","blanks_added_lastmonth","blanks_removed_lastmonth","commits_lastmonth","contributors_lastmonth","FactoidGplConflict","FactoidTeamSizeZero","FactoidTeamSizeOne","FactoidTeamSizeSmall","FactoidTeamSizeLarge","FactoidTeamSizeVeryLarge","FactoidCommentsVeryLow","FactoidCommentsLow","FactoidCommentsHigh","FactoidCommentsVeryHigh","FactoidAgeYoung","FactoidAgeOld","FactoidAgeVeryOld","FactoidActivityIncreasing","FactoidActivityDecreasing","code_churn_12months","FactoidActivity","FactoidAge","score.increase","score"
588748,"Java Chronicle","https://github.com/peter-lawrey/Java-Chronicle/wiki","https://github.com/peter-lawrey/Java-Chronicle","Java-Chronicle",1,,0,"2012-06-24T00:59:56Z","2012-06-24T00:59:55Z","2012-01-01","2012-04-01",4,3892,5,"Java",6277,2352,1287,296,1145,339,81,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8629,"NoChange","Young",0.0377608479629016,0.0377608479629016
585607,"Talend Service Factory Community Edition","http://www.talend.com/products-application-integration/talend-service-factory-community-edition.php","http://www.talend.com/download.php","talend-service-factory",0,,0,"2012-06-21T04:21:04Z","2012-06-21T04:21:02Z","2010-10-01","2012-02-01",8,20295,5,"Java",19465,8338,1411,655,1811,484,162,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,27803,"NoChange","Normal",0.0364359059291156,0.0741967538920172
588511,"socket.io-java","https://github.com/Gottox/socket.io-java-client","https://github.com/Gottox/socket.io-java-client","socketio-java",1,,0,"2012-06-24T22:54:07Z","2012-06-24T22:45:35Z","2011-12-01","2012-06-01",4,23533,5,"Java",34866,11388,4055,1976,3955,665,187,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,46254,"NoChange","Young",0.0221927790659159,0.0963895329579331
13101,"Pax URL","http://wiki.ops4j.org/confluence/x/sgNN","http://wiki.ops4j.org/confluence/x/sgNN","pax-url",6,4.66667,3,"2012-06-21T00:00:27Z","2012-06-20T23:58:05Z","2008-01-01","2012-06-01",7,31467,5,"Java",2115,4808,658,2326,169,614,73,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,6923,"Decreasing","Old",0.0218615435574694,0.118251076515402
483343,"honeycrm","http://code.google.com/p/honeycrm/","http://code.google.com/p/honeycrm/","honeycrm",2,5,2,"2012-06-25T11:05:43Z","2012-06-25T11:05:39Z","2010-05-01","2011-08-01",2,14864,5,"Java",2704,1106,136,64,354,79,45,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3810,"Decreasing","Normal",0.0208678370321299,0.139118913547532
413589,"jrugged","http://code.google.com/p/jrugged/",,"jrugged",0,,0,"2012-06-24T20:17:39Z","2012-06-24T20:17:35Z","2009-04-01","2012-03-01",3,8701,5,"Java",3984,1746,1674,648,956,342,60,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5730,"NoChange","Normal",0.0195428949983438,0.158661808545876
488885,"GTalkSMS","http://code.google.com/p/gtalksms/","https://market.android.com/details?id=com.googlecode.gtalksms","GTalkSMS",2,5,2,"2012-06-22T03:03:16Z","2012-06-22T03:01:59Z","2010-12-01","2012-06-01",7,53743,5,"Java",78250,37072,24831,4742,14797,5358,348,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,115322,"NoChange","Normal",0.0192116594898973,0.177873468035773
585395,"MyPetProject#0","http://code.google.com/p/my-pet-project-0/",,"mpp0",0,,0,"2012-06-25T17:00:20Z","2012-06-25T17:00:16Z","2011-07-01","2011-08-01",2,1746,5,"Java",1849,103,315,2,247,1,21,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1952,"NoChange","Young",0.0175554819476648,0.195428949983438
347819,"gwt-cal","http://code.google.com/p/gwt-cal/","http://code.google.com/p/gwt-cal/downloads/list","gwt-cal",2,5,1,"2011-09-11T15:10:15Z","2011-09-11T15:09:48Z","2009-06-01","2011-08-01",2,7022,5,"Java",231,122,32,23,23,14,7,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,353,"Decreasing","Normal",0.0162305399138788,0.211659489897317
506425,"saptarshiguha's RHIPE","http://ml.stat.purdue.edu/rhipe",,"saptarshiguhas_RHIPE",0,,0,"2012-06-24T09:56:12Z","2012-06-24T09:55:58Z","2009-08-01","2012-04-01",2,27936,5,"Java",9285,20666,2751,2994,1242,2188,174,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,29951,"Increasing","Normal",0.0162305399138788,0.227890029811196
27670,"Open Hospital","http://sourceforge.net/projects/openhospital","http://sourceforge.net/projects/openhospital/files/","openhospital",1,,0,"2012-06-22T07:48:49Z","2012-06-22T07:48:39Z","2006-10-01","2012-03-01",6,93612,5,"Java",35535,29216,4246,3397,1938,696,168,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,64751,"Increasing","VeryOld",0.0152368333885392,0.243126863199735
497125,"Yaaic","http://www.yaaic.org",,"Yaaic",0,,0,"2012-06-19T15:54:50Z","2012-06-19T15:54:42Z","2009-05-01","2012-04-01",8,34944,5,"Java",25386,3816,11452,1911,5457,713,98,7,15,0,3,0,2,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,29202,"Decreasing","Normal",0.0149055978800927,0.258032461079828
509879,"animoto_api_client_java","http://animoto.com",,"animoto_api_client_java",0,,0,"2012-06-22T17:17:20Z","2012-06-22T17:17:17Z","2010-08-01","2012-06-01",5,3292,5,"Java",569,60,32,4,145,11,17,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,629,"NoChange","Normal",0.0139118913547532,0.271944352434581
134442,"myqueue","http://code.google.com/p/myqueue",,"myqueue",0,,0,"2012-06-26T21:15:17Z","2012-06-26T21:15:11Z","2008-12-01","2012-05-01",2,20536,5,"Java",26137,13766,2525,1399,1964,1192,115,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,39903,"Increasing","Old",0.0139118913547532,0.285856243789334
305,"iText ®, a JAVA-PDF library","http://www.itextpdf.com/","http://www.itextpdf.com/download.php","itext",113,4.3125,32,"2012-06-20T14:39:24Z","2012-06-20T14:26:54Z","2000-11-01","2012-06-01",9,163172,5,"Java",19570,12534,9616,5979,3234,1675,280,4201,4058,3101,2447,564,421,53,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,32104,"Decreasing","VeryOld",0.0139118913547532,0.299768135144087
34158,"RESTEasy","http://jboss.org/resteasy",,"resteasy",9,4.66667,3,"2012-06-19T05:32:40Z","2012-06-19T05:32:37Z","2007-02-01","2011-12-01",8,157368,5,"Java",16815,11020,2004,1124,2504,1384,177,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,27835,"Decreasing","Old",0.0135806558463067,0.313348790990394
4059,"Apache Turbine","http://turbine.apache.org/","http://turbine.apache.org/download.html","turbine",5,5,1,"2012-06-25T17:52:57Z","2012-06-25T17:51:46Z","2001-07-01","2012-06-01",3,137443,5,"Java",2775,2672,811,1014,165,319,65,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,5447,"Decreasing","VeryOld",0.0115932427956277,0.324942033786022
546352,"jboss-logmanager","http://community.jboss.org/",,"jboss-logmanager",0,,0,"2012-06-25T00:53:05Z","2012-06-25T00:53:03Z","2009-03-01","2012-04-01",4,9047,5,"Java",3267,978,1384,115,464,42,53,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,4245,"Increasing","Old",0.0112620072871812,0.336204041073203
36910,"components4oaw","http://sourceforge.net/projects/components4oaw",,"components4oaw",0,,0,"2012-06-25T17:45:28Z","2012-06-25T17:43:42Z","2007-08-01","2011-12-01",3,27129,5,"Java",791,184,86,25,150,14,15,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,975,"Decreasing","Old",0.0112620072871812,0.347466048360384
359841,"Examples for Android","http://github.com/novoda/android/tree/master","http://github.com/novoda/android/downloads","AndroidExamples",1,,0,"2012-06-25T02:17:21Z","2012-06-25T02:17:20Z","2009-07-01","2012-04-01",3,4290,5,"Java",2047,683,555,80,432,132,22,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2730,"Increasing","Normal",0.0109307717787346,0.358396820139119
13243,"Spoofax","http://www.spoofax.org","http://updates.spoofax.org/","spoofax",4,,0,"2012-06-21T08:51:31Z","2012-06-21T08:50:14Z","2004-07-01","2012-06-01",14,290715,5,"Java",216928,111707,43869,20937,36950,19706,1418,73413,25848,3004,2239,4798,1319,66,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,328635,"Increasing","VeryOld",0.00993706525339522,0.368333885392514
